object_id,global_id,faa_identifier,name,latitude,longitude,airport_geom,elevation,icao_id,airport_type,service_city,state_abbreviation,country,oper_status,airport_use,iap_exists,dod_hiflip,far_91,far_93,mil_code,airspace_analysis,us_high,us_low,ak_high,ak_low,us_area,pacific
13759,EBE0CABB-2071-4A54-AC9B-739CA7CAFFDE,X63,Dr Hermenegildo Ortiz Quinones,18.13801949,-65.80071568,POINT(-65.80071568 18.13801949),33,,Aerodome,Humacao,PR,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13786,0753A09A-D50D-4723-8240-96BFDF75E880,08R,Richmond,41.48950849,-71.62063961,POINT(-71.62063961 41.48950849),130.4,,Aerodome,West Kingston,RI,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13803,7AFBF5AD-0E00-4FC0-9671-29DDF4B44667,9W9,Clio Crop Care,34.56142345,-79.53808615,POINT(-79.53808615 34.56142345),192.3,,Aerodome,Clio,SC,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13936,BFAE7597-A39B-4519-8272-F0F996A4D67F,33A,Fairview,35.15734015,-82.12375362,POINT(-82.12375362 35.15734015),1046,,Aerodome,Landrum,SC,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13813,0E8D8D5D-4801-4044-B7EF-02D7C8544EC3,6J7,Branhams,34.28153449,-79.92761403,POINT(-79.92761403 34.28153449),166,,Aerodome,Darlington,SC,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13828,902884F2-0FAC-4A10-9AE1-37189C8F84B0,S79,Green Sea,34.18556227,-79.02059014,POINT(-79.02059014 34.18556227),95,,Aerodome,Green Sea,SC,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13931,C10259DF-B5E5-499B-A38B-596EF24AA55F,T73,Kirk Air Base,34.67432371,-80.682294,POINT(-80.682294 34.67432371),578,,Aerodome,Lancaster,SC,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13834,D12F3316-B9BB-4900-966A-0600A98ECCA5,5J5,Holly Hill,33.30042314,-80.39433634,POINT(-80.39433634 33.30042314),96,,Aerodome,Holly Hill,SC,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14165,AC1923C3-C71D-4B4F-912D-E909EC0CADFF,7Q7,White River Muni,43.56167142,-100.7418151,POINT(-100.7418151 43.56167142),2151,,Aerodome,White River,SD,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14099,6C0BF7D2-711B-4BB7-8AE6-38FF2700BC6A,5H3,Clear Lake Muni,44.77170222,-96.68839976,POINT(-96.68839976 44.77170222),1804,,Aerodome,Clear Lake,SD,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14506,22620E0C-AB88-4010-BE25-2C421FF0302D,54M,Wolf River,35.0540301,-89.58003214,POINT(-89.58003214 35.0540301),310,,Aerodome,Rossville,TN,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15535,A0AB30D4-7C90-43E8-B722-DB365E88EFF1,3T6,Clark,33.13361689,-97.29703545,POINT(-97.29703545 33.13361689),705,,Aerodome,Justin,TX,United States,Operational,Public,FALSE,FALSE,FALSE,FALSE,CIVIL,Conditional,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
